Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.83;-2.15;5.86;0.00;0.00;-0.01;
7;;-2.43;-4.88;6.59;0.00;0.00;0.01;
8;;-0.07;-4.92;16.69;0.00;0.00;0.00;
9;;-5.40;-7.13;5.86;0.00;0.00;0.00;
10;;-0.05;-7.87;10.68;0.00;0.00;0.00;
11;;-36.59;1.40;50.00;0.00;0.00;0.00;
17;;17.08;1.70;45.91;0.00;0.00;0.00;
18;;-36.62;-1.40;50.04;0.00;0.00;0.00;
24;;17.12;-1.69;45.97;0.00;0.00;0.00;
25;;-35.74;0.00;48.11;0.00;0.00;0.00;
31;;16.23;0.00;44.02;0.00;0.00;0.00;
32;;-35.69;0.00;48.07;0.00;0.00;0.00;
38;;16.21;0.00;43.98;0.00;0.00;0.00;
39;;-1.83;2.15;5.86;0.00;0.00;0.01;
45;;-2.43;4.88;6.59;0.00;0.00;-0.01;
46;;-0.07;4.91;16.69;0.00;0.00;0.00;
47;;-5.40;7.13;5.86;0.00;0.00;0.00;
48;;-0.05;7.86;10.68;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;17.12;-1.69;45.97;0.00;0.00;0.00;
18;P_x;-36.62;-1.40;50.04;0.00;0.00;0.00;
48;P_y;-0.05;7.86;10.68;0.00;0.00;0.00;
10;P_y;-0.05;-7.87;10.68;0.00;0.00;0.00;
18;P_z;-36.62;-1.40;50.04;0.00;0.00;0.00;
47;P_z;-5.40;7.13;5.86;0.00;0.00;0.00;
1;M_x;-1.83;-2.15;5.86;0.00;0.00;-0.01;
1;M_x;-1.83;-2.15;5.86;0.00;0.00;-0.01;
1;M_y;-1.83;-2.15;5.86;0.00;0.00;-0.01;
1;M_y;-1.83;-2.15;5.86;0.00;0.00;-0.01;
7;M_z;-2.43;-4.88;6.59;0.00;0.00;0.01;
45;M_z;-2.43;4.88;6.59;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;-97.55;0.00;467.46;Loads;;;
Σ;;-97.55;0.00;467.46;Support Forces;;;
