Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.56;-1.30;5.52;0.00;0.00;-0.01;
7;;2.56;-1.30;5.40;0.00;0.00;0.01;
8;;1.07;-2.99;11.47;0.00;0.00;0.00;
9;;-1.06;-3.33;11.41;0.00;0.00;0.00;
10;;0.00;-2.99;11.04;0.00;0.00;0.00;
11;;-35.48;-0.20;68.79;0.00;0.00;-0.01;
17;;35.48;-0.20;68.60;0.00;0.00;0.01;
18;;-30.05;-23.79;25.72;0.00;0.00;-0.01;
24;;30.05;-23.73;25.64;0.00;0.00;0.01;
25;;-33.33;-0.11;45.33;0.00;0.00;-0.01;
31;;33.33;-0.12;45.20;0.00;0.00;0.01;
32;;-34.80;-0.12;45.37;0.00;0.00;-0.01;
38;;34.81;-0.12;45.24;0.00;0.00;0.01;
39;;-5.17;-3.02;4.94;0.00;0.00;-0.01;
45;;5.16;-3.02;4.82;0.00;0.00;0.01;
46;;1.04;-6.93;11.77;0.00;0.00;0.00;
47;;-1.02;-7.71;11.85;0.00;0.00;0.00;
48;;0.00;-6.92;11.34;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;35.48;-0.20;68.60;0.00;0.00;0.01;
11;P_x;-35.48;-0.20;68.79;0.00;0.00;-0.01;
25;P_y;-33.33;-0.11;45.33;0.00;0.00;-0.01;
18;P_y;-30.05;-23.79;25.72;0.00;0.00;-0.01;
11;P_z;-35.48;-0.20;68.79;0.00;0.00;-0.01;
45;P_z;5.16;-3.02;4.82;0.00;0.00;0.01;
1;M_x;-2.56;-1.30;5.52;0.00;0.00;-0.01;
1;M_x;-2.56;-1.30;5.52;0.00;0.00;-0.01;
1;M_y;-2.56;-1.30;5.52;0.00;0.00;-0.01;
1;M_y;-2.56;-1.30;5.52;0.00;0.00;-0.01;
17;M_z;35.48;-0.20;68.60;0.00;0.00;0.01;
11;M_z;-35.48;-0.20;68.79;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-87.90;459.46;Loads;;;
Σ;;0.00;-87.90;459.46;Support Forces;;;
