Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.23;-0.05;12.09;0.00;0.00;0.00;
7;;1.26;-0.05;11.90;0.00;0.00;0.00;
8;;0.19;-0.11;24.56;0.00;0.00;0.00;
9;;-0.21;-0.10;23.24;0.00;0.00;0.00;
10;;0.00;-0.10;24.01;0.00;0.00;0.00;
11;;-62.76;1.68;96.67;0.00;0.00;0.00;
17;;62.76;1.67;96.29;0.00;0.00;0.00;
18;;-62.84;-0.43;100.11;0.00;0.00;0.00;
24;;62.84;-0.43;99.72;0.00;0.00;0.00;
25;;-61.91;-0.42;96.46;0.00;0.00;0.00;
31;;61.91;-0.41;96.07;0.00;0.00;0.00;
32;;-61.91;-0.42;96.45;0.00;0.00;0.00;
38;;61.91;-0.41;96.07;0.00;0.00;0.00;
39;;-1.23;-0.05;12.09;0.00;0.00;0.00;
45;;1.26;-0.05;11.90;0.00;0.00;0.00;
46;;0.19;-0.11;24.56;0.00;0.00;0.00;
47;;-0.21;-0.10;23.24;0.00;0.00;0.00;
48;;0.00;-0.10;24.01;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;62.84;-0.43;99.72;0.00;0.00;0.00;
18;P_x;-62.84;-0.43;100.11;0.00;0.00;0.00;
11;P_y;-62.76;1.68;96.67;0.00;0.00;0.00;
18;P_y;-62.84;-0.43;100.11;0.00;0.00;0.00;
18;P_z;-62.84;-0.43;100.11;0.00;0.00;0.00;
7;P_z;1.26;-0.05;11.90;0.00;0.00;0.00;
1;M_x;-1.23;-0.05;12.09;0.00;0.00;0.00;
1;M_x;-1.23;-0.05;12.09;0.00;0.00;0.00;
1;M_y;-1.23;-0.05;12.09;0.00;0.00;0.00;
1;M_y;-1.23;-0.05;12.09;0.00;0.00;0.00;
18;M_z;-62.84;-0.43;100.11;0.00;0.00;0.00;
24;M_z;62.84;-0.43;99.72;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;969.46;Loads;;;
Σ;;0.00;0.00;969.46;Support Forces;;;
