Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.03;-0.85;6.18;0.00;0.00;0.00;
7;;1.96;-0.85;6.03;0.00;0.00;0.00;
8;;1.00;-1.96;12.67;0.00;0.00;0.00;
9;;-0.88;-2.18;12.75;0.00;0.00;0.00;
10;;-0.05;-1.96;12.59;0.00;0.00;0.00;
11;;-37.32;0.06;66.91;0.00;0.00;-0.01;
17;;37.24;0.06;66.85;0.00;0.00;0.01;
18;;-33.60;-16.48;36.98;0.00;0.00;-0.01;
24;;33.68;-16.39;37.08;0.00;0.00;0.01;
25;;-35.77;0.06;50.53;0.00;0.00;-0.01;
31;;35.77;0.05;50.52;0.00;0.00;0.01;
32;;-36.76;0.05;50.56;0.00;0.00;-0.01;
38;;36.76;0.05;50.56;0.00;0.00;0.01;
39;;-3.77;-2.00;5.80;0.00;0.00;-0.01;
45;;3.70;-2.00;5.64;0.00;0.00;0.01;
46;;0.98;-4.58;12.86;0.00;0.00;0.00;
47;;-0.86;-5.11;13.03;0.00;0.00;0.00;
48;;-0.06;-4.58;12.79;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;37.24;0.06;66.85;0.00;0.00;0.01;
11;P_x;-37.32;0.06;66.91;0.00;0.00;-0.01;
11;P_y;-37.32;0.06;66.91;0.00;0.00;-0.01;
18;P_y;-33.60;-16.48;36.98;0.00;0.00;-0.01;
11;P_z;-37.32;0.06;66.91;0.00;0.00;-0.01;
45;P_z;3.70;-2.00;5.64;0.00;0.00;0.01;
1;M_x;-2.03;-0.85;6.18;0.00;0.00;0.00;
1;M_x;-2.03;-0.85;6.18;0.00;0.00;0.00;
1;M_y;-2.03;-0.85;6.18;0.00;0.00;0.00;
1;M_y;-2.03;-0.85;6.18;0.00;0.00;0.00;
17;M_z;37.24;0.06;66.85;0.00;0.00;0.01;
11;M_z;-37.32;0.06;66.91;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-58.60;510.34;Loads;;;
Σ;;0.00;-58.60;510.34;Support Forces;;;
