Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.86;-0.04;8.52;0.00;0.00;0.00;
7;;0.87;-0.04;8.37;0.00;0.00;0.00;
8;;0.66;-0.08;17.18;0.00;0.00;0.00;
9;;-0.67;-0.07;16.30;0.00;0.00;0.00;
10;;0.00;-0.07;16.82;0.00;0.00;0.00;
11;;-43.86;1.39;67.89;0.00;0.00;0.00;
17;;43.86;1.39;67.63;0.00;0.00;0.00;
18;;-43.92;-0.51;70.31;0.00;0.00;0.00;
24;;43.92;-0.52;70.03;0.00;0.00;0.00;
25;;-43.23;-0.29;67.66;0.00;0.00;0.00;
31;;43.23;-0.29;67.39;0.00;0.00;0.00;
32;;-43.23;-0.29;67.66;0.00;0.00;0.00;
38;;43.23;-0.29;67.39;0.00;0.00;0.00;
39;;-0.86;-0.04;8.52;0.00;0.00;0.00;
45;;0.87;-0.04;8.37;0.00;0.00;0.00;
46;;0.66;-0.08;17.18;0.00;0.00;0.00;
47;;-0.67;-0.07;16.30;0.00;0.00;0.00;
48;;0.00;-0.07;16.82;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;43.92;-0.52;70.03;0.00;0.00;0.00;
18;P_x;-43.92;-0.51;70.31;0.00;0.00;0.00;
17;P_y;43.86;1.39;67.63;0.00;0.00;0.00;
24;P_y;43.92;-0.52;70.03;0.00;0.00;0.00;
18;P_z;-43.92;-0.51;70.31;0.00;0.00;0.00;
45;P_z;0.87;-0.04;8.37;0.00;0.00;0.00;
1;M_x;-0.86;-0.04;8.52;0.00;0.00;0.00;
1;M_x;-0.86;-0.04;8.52;0.00;0.00;0.00;
1;M_y;-0.86;-0.04;8.52;0.00;0.00;0.00;
1;M_y;-0.86;-0.04;8.52;0.00;0.00;0.00;
18;M_z;-43.92;-0.51;70.31;0.00;0.00;0.00;
24;M_z;43.92;-0.52;70.03;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;680.34;Loads;;;
Σ;;0.00;0.00;680.34;Support Forces;;;
