;;;;
;Description;Value;Unit;Notes
;Sum of loads and sum of support forces;;;
;Sum of loads in X;0.00;kN;
;Sum of support forces in X;0.00;kN;
;Sum of loads in Y;-87.90;kN;
;Sum of support forces in Y;-87.90;kN;Deviation: 0.00 %
;Sum of loads in Z;714.46;kN;
;Sum of support forces in Z;714.46;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;215.72;kNm;At center of gravity of model (9.972, 12.326, -3.889 m)
;Resultant of reactions about Y;-1.43;kNm;At center of gravity of model
;Resultant of reactions about Z;-1.83;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;-189.2;mm;Member No. 47, x: 2.500 m
;Maximum displacement in Y-direction;-9.9;mm;Member No. 214, x: 1.155 m
;Maximum displacement in Z-direction;49.5;mm;Member No. 56, x: 2.500 m
;Maximum vectorial displacement;189.6;mm;Member No. 47, x: 2.500 m
;Maximum rotation about X-axis;16.5;mrad;Member No. 224, x: 1.650 m
;Maximum rotation about Y-axis;5.2;mrad;Member No. 171, x: 1.237 m
;Maximum rotation about Z-axis;-119.8;mrad;Member No. 47, x: 5.000 m
;;;;
;Calculation statistic;;;
;Number of iterations;5;;
;Maximum value of element of stiffness matrix on diagonal;2.65e+13;--;
;Minimum value of element of stiffness matrix on diagonal;19126.20;--;
;Stiffness matrix determinant;3.40e+89676;--;
;Infinity Norm;6.04e+13;--;
;;;;
;Static Analysis Settings No. 2 - Second-order (P-Δ) | Newton-Raphson | 100 | 3;;;
;Analysis type;Second-order (P-Δ);;
;Iterative method;Newton-Raphson;;
;Maximum number of iterations;100;;
;Number of load increments;3;;
;Modify loading by multiplier factor;;;
;Consider favorable effects due to tension forces of members;;;
;Save results of all load increments;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
