Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.77;-0.85;4.14;0.00;0.00;0.00;
7;;1.72;-0.85;4.02;0.00;0.00;0.00;
8;;1.28;-1.96;8.29;0.00;0.00;0.00;
9;;-1.19;-2.19;8.57;0.00;0.00;0.00;
10;;-0.04;-1.96;8.18;0.00;0.00;0.00;
11;;-25.79;0.06;49.89;0.00;0.00;-0.01;
17;;25.71;0.06;49.85;0.00;0.00;0.01;
18;;-22.04;-16.45;19.98;0.00;0.00;-0.01;
24;;22.12;-16.36;20.10;0.00;0.00;0.01;
25;;-24.22;0.05;33.52;0.00;0.00;-0.01;
31;;24.22;0.05;33.54;0.00;0.00;0.01;
32;;-25.20;0.05;33.54;0.00;0.00;-0.01;
38;;25.20;0.05;33.56;0.00;0.00;0.01;
39;;-3.51;-2.00;3.76;0.00;0.00;-0.01;
45;;3.46;-2.00;3.64;0.00;0.00;0.01;
46;;1.26;-4.58;8.50;0.00;0.00;0.00;
47;;-1.17;-5.11;8.87;0.00;0.00;0.00;
48;;-0.04;-4.58;8.38;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;25.71;0.06;49.85;0.00;0.00;0.01;
11;P_x;-25.79;0.06;49.89;0.00;0.00;-0.01;
11;P_y;-25.79;0.06;49.89;0.00;0.00;-0.01;
18;P_y;-22.04;-16.45;19.98;0.00;0.00;-0.01;
11;P_z;-25.79;0.06;49.89;0.00;0.00;-0.01;
45;P_z;3.46;-2.00;3.64;0.00;0.00;0.01;
1;M_x;-1.77;-0.85;4.14;0.00;0.00;0.00;
1;M_x;-1.77;-0.85;4.14;0.00;0.00;0.00;
1;M_y;-1.77;-0.85;4.14;0.00;0.00;0.00;
1;M_y;-1.77;-0.85;4.14;0.00;0.00;0.00;
17;M_z;25.71;0.06;49.85;0.00;0.00;0.01;
11;M_z;-25.79;0.06;49.89;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-58.60;340.34;Loads;;;
Σ;;0.00;-58.60;340.34;Support Forces;;;
