Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.69;-0.55;8.33;0.00;0.00;0.00;
7;;1.70;-0.55;8.17;0.00;0.00;0.00;
8;;0.65;-1.25;17.29;0.00;0.00;0.00;
9;;-0.66;-1.38;16.49;0.00;0.00;0.00;
10;;0.00;-1.25;16.93;0.00;0.00;0.00;
11;;-46.83;-0.29;76.83;0.00;0.00;0.00;
17;;46.83;-0.29;76.55;0.00;0.00;0.00;
18;;-44.72;-8.68;61.35;0.00;0.00;0.00;
24;;44.72;-8.66;61.10;0.00;0.00;0.00;
25;;-45.69;-0.26;67.66;0.00;0.00;0.00;
31;;45.69;-0.25;67.39;0.00;0.00;0.00;
32;;-46.29;-0.26;67.69;0.00;0.00;0.00;
38;;46.29;-0.26;67.42;0.00;0.00;0.00;
39;;-2.73;-1.23;8.10;0.00;0.00;0.00;
45;;2.74;-1.24;7.94;0.00;0.00;0.00;
46;;0.64;-2.82;17.40;0.00;0.00;0.00;
47;;-0.64;-3.14;16.65;0.00;0.00;0.00;
48;;0.00;-2.82;17.05;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;46.83;-0.29;76.55;0.00;0.00;0.00;
11;P_x;-46.83;-0.29;76.83;0.00;0.00;0.00;
31;P_y;45.69;-0.25;67.39;0.00;0.00;0.00;
18;P_y;-44.72;-8.68;61.35;0.00;0.00;0.00;
11;P_z;-46.83;-0.29;76.83;0.00;0.00;0.00;
45;P_z;2.74;-1.24;7.94;0.00;0.00;0.00;
1;M_x;-1.69;-0.55;8.33;0.00;0.00;0.00;
1;M_x;-1.69;-0.55;8.33;0.00;0.00;0.00;
1;M_y;-1.69;-0.55;8.33;0.00;0.00;0.00;
1;M_y;-1.69;-0.55;8.33;0.00;0.00;0.00;
45;M_z;2.74;-1.24;7.94;0.00;0.00;0.00;
39;M_z;-2.73;-1.23;8.10;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-35.16;680.34;Loads;;;
Σ;;0.00;-35.16;680.34;Support Forces;;;
