Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.08;-1.29;12.04;0.00;0.00;0.00;
7;;-0.55;-2.93;12.30;0.00;0.00;0.01;
8;;-0.12;-2.95;27.52;0.00;0.00;0.00;
9;;-3.02;-4.28;20.53;0.00;0.00;0.00;
10;;-0.10;-4.72;24.00;0.00;0.00;0.00;
11;;-67.90;0.57;99.90;0.00;0.00;0.00;
17;;56.20;0.76;97.34;0.00;0.00;0.00;
18;;-67.95;-0.57;99.95;0.00;0.00;0.00;
24;;56.25;-0.75;97.42;0.00;0.00;0.00;
25;;-67.06;0.00;98.02;0.00;0.00;0.00;
31;;55.35;0.00;95.47;0.00;0.00;0.00;
32;;-67.01;0.00;97.97;0.00;0.00;0.00;
38;;55.31;0.00;95.41;0.00;0.00;0.00;
39;;-2.08;1.29;12.04;0.00;0.00;0.00;
45;;-0.55;2.93;12.30;0.00;0.00;-0.01;
46;;-0.12;2.95;27.52;0.00;0.00;0.00;
47;;-3.02;4.27;20.53;0.00;0.00;0.00;
48;;-0.10;4.72;24.00;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;56.25;-0.75;97.42;0.00;0.00;0.00;
18;P_x;-67.95;-0.57;99.95;0.00;0.00;0.00;
48;P_y;-0.10;4.72;24.00;0.00;0.00;0.00;
10;P_y;-0.10;-4.72;24.00;0.00;0.00;0.00;
18;P_z;-67.95;-0.57;99.95;0.00;0.00;0.00;
1;P_z;-2.08;-1.29;12.04;0.00;0.00;0.00;
1;M_x;-2.08;-1.29;12.04;0.00;0.00;0.00;
1;M_x;-2.08;-1.29;12.04;0.00;0.00;0.00;
1;M_y;-2.08;-1.29;12.04;0.00;0.00;0.00;
1;M_y;-2.08;-1.29;12.04;0.00;0.00;0.00;
7;M_z;-0.55;-2.93;12.30;0.00;0.00;0.01;
45;M_z;-0.55;2.93;12.30;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;-58.53;0.00;974.26;Loads;;;
Σ;;-58.53;0.00;974.26;Support Forces;;;
