Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.59;-1.28;5.53;0.00;0.00;-0.01;
7;;2.53;-1.28;5.39;0.00;0.00;0.01;
8;;1.12;-2.94;11.26;0.00;0.00;0.00;
9;;-1.01;-3.28;11.63;0.00;0.00;0.00;
10;;-0.05;-2.94;11.04;0.00;0.00;0.00;
11;;-35.56;0.10;69.61;0.00;0.00;-0.01;
17;;35.44;0.10;69.55;0.00;0.00;0.01;
18;;-29.96;-24.71;24.70;0.00;0.00;-0.01;
24;;30.09;-24.58;24.89;0.00;0.00;0.01;
25;;-33.33;0.08;45.25;0.00;0.00;-0.01;
31;;33.33;0.08;45.28;0.00;0.00;0.01;
32;;-34.80;0.08;45.29;0.00;0.00;-0.01;
38;;34.81;0.08;45.32;0.00;0.00;0.01;
39;;-5.20;-3.00;4.95;0.00;0.00;-0.01;
45;;5.13;-3.00;4.81;0.00;0.00;0.01;
46;;1.09;-6.87;11.56;0.00;0.00;0.00;
47;;-0.97;-7.66;12.06;0.00;0.00;0.00;
48;;-0.05;-6.87;11.34;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;35.44;0.10;69.55;0.00;0.00;0.01;
11;P_x;-35.56;0.10;69.61;0.00;0.00;-0.01;
11;P_y;-35.56;0.10;69.61;0.00;0.00;-0.01;
18;P_y;-29.96;-24.71;24.70;0.00;0.00;-0.01;
11;P_z;-35.56;0.10;69.61;0.00;0.00;-0.01;
45;P_z;5.13;-3.00;4.81;0.00;0.00;0.01;
1;M_x;-2.59;-1.28;5.53;0.00;0.00;-0.01;
1;M_x;-2.59;-1.28;5.53;0.00;0.00;-0.01;
1;M_y;-2.59;-1.28;5.53;0.00;0.00;-0.01;
1;M_y;-2.59;-1.28;5.53;0.00;0.00;-0.01;
17;M_z;35.44;0.10;69.55;0.00;0.00;0.01;
11;M_z;-35.56;0.10;69.61;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-87.90;459.46;Loads;;;
Σ;;0.00;-87.90;459.46;Support Forces;;;
