Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.50;-0.03;6.00;0.00;0.00;0.00;
7;;0.50;-0.03;5.88;0.00;0.00;0.00;
8;;1.08;-0.05;11.21;0.00;0.00;0.00;
9;;-1.08;-0.05;10.95;0.00;0.00;0.00;
10;;0.00;-0.05;10.77;0.00;0.00;0.00;
11;;-28.03;1.58;46.44;0.00;0.00;0.00;
17;;28.03;1.58;46.31;0.00;0.00;0.00;
18;;-28.07;-0.98;48.09;0.00;0.00;0.00;
24;;28.07;-0.99;47.95;0.00;0.00;0.00;
25;;-27.17;-0.19;45.33;0.00;0.00;0.00;
31;;27.17;-0.19;45.20;0.00;0.00;0.00;
32;;-27.17;-0.19;45.33;0.00;0.00;0.00;
38;;27.17;-0.19;45.19;0.00;0.00;0.00;
39;;-0.50;-0.03;6.00;0.00;0.00;0.00;
45;;0.50;-0.03;5.88;0.00;0.00;0.00;
46;;1.08;-0.05;11.21;0.00;0.00;0.00;
47;;-1.08;-0.05;10.95;0.00;0.00;0.00;
48;;0.00;-0.05;10.77;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;28.07;-0.99;47.95;0.00;0.00;0.00;
18;P_x;-28.07;-0.98;48.09;0.00;0.00;0.00;
11;P_y;-28.03;1.58;46.44;0.00;0.00;0.00;
24;P_y;28.07;-0.99;47.95;0.00;0.00;0.00;
18;P_z;-28.07;-0.98;48.09;0.00;0.00;0.00;
7;P_z;0.50;-0.03;5.88;0.00;0.00;0.00;
1;M_x;-0.50;-0.03;6.00;0.00;0.00;0.00;
1;M_x;-0.50;-0.03;6.00;0.00;0.00;0.00;
1;M_y;-0.50;-0.03;6.00;0.00;0.00;0.00;
1;M_y;-0.50;-0.03;6.00;0.00;0.00;0.00;
18;M_z;-28.07;-0.98;48.09;0.00;0.00;0.00;
24;M_z;28.07;-0.99;47.95;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;459.46;Loads;;;
Σ;;0.00;0.00;459.46;Support Forces;;;
