Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-4.10;1.80;11.48;0.00;0.00;0.01;
7;;3.99;1.80;11.24;0.00;0.00;-0.01;
8;;0.28;4.11;24.43;0.00;0.00;0.00;
9;;-0.10;4.59;24.17;0.00;0.00;0.00;
10;;-0.10;4.11;24.35;0.00;0.00;0.00;
11;;-65.74;14.89;84.76;0.00;0.00;0.01;
17;;65.81;14.82;84.81;0.00;0.00;-0.01;
18;;-68.13;-0.07;111.72;0.00;0.00;0.01;
24;;68.05;-0.07;111.62;0.00;0.00;-0.01;
25;;-64.74;-0.06;96.29;0.00;0.00;0.01;
31;;64.74;-0.06;96.24;0.00;0.00;-0.01;
32;;-64.72;-0.06;96.26;0.00;0.00;0.01;
38;;64.72;-0.06;96.21;0.00;0.00;-0.01;
39;;-2.53;0.77;11.82;0.00;0.00;0.00;
45;;2.43;0.77;11.59;0.00;0.00;0.00;
46;;0.31;1.76;24.27;0.00;0.00;0.00;
47;;-0.10;1.96;23.98;0.00;0.00;0.00;
48;;-0.10;1.76;24.19;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;68.05;-0.07;111.62;0.00;0.00;-0.01;
18;P_x;-68.13;-0.07;111.72;0.00;0.00;0.01;
11;P_y;-65.74;14.89;84.76;0.00;0.00;0.01;
18;P_y;-68.13;-0.07;111.72;0.00;0.00;0.01;
18;P_z;-68.13;-0.07;111.72;0.00;0.00;0.01;
7;P_z;3.99;1.80;11.24;0.00;0.00;-0.01;
1;M_x;-4.10;1.80;11.48;0.00;0.00;0.01;
1;M_x;-4.10;1.80;11.48;0.00;0.00;0.01;
1;M_y;-4.10;1.80;11.48;0.00;0.00;0.01;
1;M_y;-4.10;1.80;11.48;0.00;0.00;0.01;
18;M_z;-68.13;-0.07;111.72;0.00;0.00;0.01;
24;M_z;68.05;-0.07;111.62;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;52.74;969.46;Loads;;;
Σ;;-0.03;52.74;969.43;Support Forces;;;
