;;;;
;Description;Value;Unit;Notes
;Sum of loads and sum of support forces;;;
;Sum of loads in X;-97.55;kN;
;Sum of support forces in X;-97.55;kN;Deviation: 0.00 %
;Sum of loads in Y;0.00;kN;
;Sum of support forces in Y;0.00;kN;
;Sum of loads in Z;722.46;kN;
;Sum of support forces in Z;722.46;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;87.37;kNm;At center of gravity of model (9.972, 12.326, -3.889 m)
;Resultant of reactions about Y;-187.48;kNm;At center of gravity of model
;Resultant of reactions about Z;17.03;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;-108.5;mm;Member No. 66, x: 2.500 m
;Maximum displacement in Y-direction;6.3;mm;Member No. 224, x: 1.038 m
;Maximum displacement in Z-direction;45.8;mm;Member No. 159, x: 2.500 m
;Maximum vectorial displacement;108.9;mm;Member No. 66, x: 2.500 m
;Maximum rotation about X-axis;-30.1;mrad;Member No. 224, x: 1.650 m
;Maximum rotation about Y-axis;4.9;mrad;Member No. 130, x: 5.000 m
;Maximum rotation about Z-axis;-67.1;mrad;Member No. 67, x: 5.000 m
;;;;
;Calculation statistic;;;
;Number of iterations;5;;
;Maximum value of element of stiffness matrix on diagonal;2.65e+13;--;
;Minimum value of element of stiffness matrix on diagonal;19126.20;--;
;Stiffness matrix determinant;2.56e+89689;--;
;Infinity Norm;6.04e+13;--;
;;;;
;Static Analysis Settings No. 2 - Second-order (P-Δ) | Newton-Raphson | 100 | 3;;;
;Analysis type;Second-order (P-Δ);;
;Iterative method;Newton-Raphson;;
;Maximum number of iterations;100;;
;Number of load increments;3;;
;Modify loading by multiplier factor;;;
;Consider favorable effects due to tension forces of members;;;
;Save results of all load increments;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
