Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.47;-0.82;11.80;0.00;0.00;0.00;
7;;2.49;-0.82;11.61;0.00;0.00;0.00;
8;;0.18;-1.86;24.72;0.00;0.00;0.00;
9;;-0.20;-2.06;23.53;0.00;0.00;0.00;
10;;0.00;-1.86;24.18;0.00;0.00;0.00;
11;;-67.18;-0.41;110.11;0.00;0.00;-0.01;
17;;67.18;-0.40;109.70;0.00;0.00;0.01;
18;;-64.05;-13.16;86.65;0.00;0.00;-0.01;
24;;64.05;-13.12;86.29;0.00;0.00;0.01;
25;;-65.59;-0.35;96.46;0.00;0.00;-0.01;
31;;65.59;-0.35;96.07;0.00;0.00;0.01;
32;;-66.50;-0.35;96.51;0.00;0.00;-0.01;
38;;66.50;-0.35;96.12;0.00;0.00;0.01;
39;;-4.03;-1.85;11.46;0.00;0.00;-0.01;
45;;4.05;-1.85;11.27;0.00;0.00;0.01;
46;;0.16;-4.22;24.88;0.00;0.00;0.00;
47;;-0.18;-4.69;23.76;0.00;0.00;0.00;
48;;0.00;-4.22;24.34;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;67.18;-0.40;109.70;0.00;0.00;0.01;
11;P_x;-67.18;-0.41;110.11;0.00;0.00;-0.01;
31;P_y;65.59;-0.35;96.07;0.00;0.00;0.01;
18;P_y;-64.05;-13.16;86.65;0.00;0.00;-0.01;
11;P_z;-67.18;-0.41;110.11;0.00;0.00;-0.01;
45;P_z;4.05;-1.85;11.27;0.00;0.00;0.01;
1;M_x;-2.47;-0.82;11.80;0.00;0.00;0.00;
1;M_x;-2.47;-0.82;11.80;0.00;0.00;0.00;
1;M_y;-2.47;-0.82;11.80;0.00;0.00;0.00;
1;M_y;-2.47;-0.82;11.80;0.00;0.00;0.00;
45;M_z;4.05;-1.85;11.27;0.00;0.00;0.01;
39;M_z;-4.03;-1.85;11.46;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-52.74;969.46;Loads;;;
Σ;;0.00;-52.74;969.46;Support Forces;;;
