Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-3.51;2.00;3.76;0.00;0.00;0.01;
7;;3.46;2.00;3.64;0.00;0.00;-0.01;
8;;1.26;4.58;8.50;0.00;0.00;0.00;
9;;-1.17;5.11;8.87;0.00;0.00;0.00;
10;;-0.04;4.58;8.38;0.00;0.00;0.00;
11;;-23.97;16.45;20.00;0.00;0.00;0.01;
17;;24.05;16.36;20.13;0.00;0.00;-0.01;
18;;-26.75;-0.06;49.89;0.00;0.00;0.01;
24;;26.66;-0.06;49.86;0.00;0.00;-0.01;
25;;-23.28;-0.05;33.52;0.00;0.00;0.01;
31;;23.28;-0.05;33.54;0.00;0.00;-0.01;
32;;-23.27;-0.05;33.51;0.00;0.00;0.01;
38;;23.27;-0.05;33.53;0.00;0.00;-0.01;
39;;-1.77;0.85;4.14;0.00;0.00;0.00;
45;;1.72;0.85;4.02;0.00;0.00;0.00;
46;;1.28;1.96;8.29;0.00;0.00;0.00;
47;;-1.19;2.19;8.57;0.00;0.00;0.00;
48;;-0.04;1.96;8.18;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;26.66;-0.06;49.86;0.00;0.00;-0.01;
18;P_x;-26.75;-0.06;49.89;0.00;0.00;0.01;
11;P_y;-23.97;16.45;20.00;0.00;0.00;0.01;
18;P_y;-26.75;-0.06;49.89;0.00;0.00;0.01;
18;P_z;-26.75;-0.06;49.89;0.00;0.00;0.01;
7;P_z;3.46;2.00;3.64;0.00;0.00;-0.01;
1;M_x;-3.51;2.00;3.76;0.00;0.00;0.01;
1;M_x;-3.51;2.00;3.76;0.00;0.00;0.01;
1;M_y;-3.51;2.00;3.76;0.00;0.00;0.01;
1;M_y;-3.51;2.00;3.76;0.00;0.00;0.01;
18;M_z;-26.75;-0.06;49.89;0.00;0.00;0.01;
24;M_z;26.66;-0.06;49.86;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;58.60;340.34;Loads;;;
Σ;;0.00;58.60;340.34;Support Forces;;;
