Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;0.30;-1.99;8.80;0.00;0.00;0.00;
7;;1.38;-0.90;8.25;0.00;0.00;0.00;
8;;2.23;-3.22;14.87;0.00;0.00;0.00;
9;;0.00;-2.93;18.72;0.00;0.00;0.00;
10;;0.00;-2.04;16.92;0.00;0.00;0.00;
11;;-39.46;1.57;67.35;0.00;0.00;0.00;
17;;47.27;1.45;68.73;0.00;0.00;0.00;
18;;-39.54;-0.68;69.80;0.00;0.00;0.00;
24;;47.34;-0.56;71.20;0.00;0.00;0.00;
25;;-38.86;-0.29;67.16;0.00;0.00;0.00;
31;;46.66;-0.29;68.54;0.00;0.00;0.00;
32;;-38.84;-0.29;67.13;0.00;0.00;0.00;
38;;46.64;-0.29;68.52;0.00;0.00;0.00;
39;;0.30;1.91;8.80;0.00;0.00;0.00;
45;;1.38;0.83;8.25;0.00;0.00;0.00;
46;;2.23;3.07;14.87;0.00;0.00;0.00;
47;;0.00;2.77;18.72;0.00;0.00;0.00;
48;;0.00;1.89;16.92;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;47.34;-0.56;71.20;0.00;0.00;0.00;
18;P_x;-39.54;-0.68;69.80;0.00;0.00;0.00;
46;P_y;2.23;3.07;14.87;0.00;0.00;0.00;
8;P_y;2.23;-3.22;14.87;0.00;0.00;0.00;
24;P_z;47.34;-0.56;71.20;0.00;0.00;0.00;
45;P_z;1.38;0.83;8.25;0.00;0.00;0.00;
1;M_x;0.30;-1.99;8.80;0.00;0.00;0.00;
1;M_x;0.30;-1.99;8.80;0.00;0.00;0.00;
1;M_y;0.30;-1.99;8.80;0.00;0.00;0.00;
1;M_y;0.30;-1.99;8.80;0.00;0.00;0.00;
39;M_z;0.30;1.91;8.80;0.00;0.00;0.00;
1;M_z;0.30;-1.99;8.80;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;39.02;0.00;683.54;Loads;;;
Σ;;39.02;0.00;683.54;Support Forces;;;
