Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-5.58;3.00;8.00;0.00;0.00;0.01;
7;;5.49;3.00;7.82;0.00;0.00;-0.01;
8;;0.67;6.86;18.10;0.00;0.00;0.00;
9;;-0.51;7.65;18.30;0.00;0.00;0.00;
10;;-0.08;6.86;17.95;0.00;0.00;0.00;
11;;-50.26;24.77;50.27;0.00;0.00;0.01;
17;;50.38;24.64;50.42;0.00;0.00;-0.01;
18;;-54.31;-0.10;95.16;0.00;0.00;0.01;
24;;54.19;-0.10;95.07;0.00;0.00;-0.01;
25;;-49.25;-0.09;70.77;0.00;0.00;0.01;
31;;49.25;-0.09;70.76;0.00;0.00;-0.01;
32;;-49.22;-0.09;70.74;0.00;0.00;0.01;
38;;49.22;-0.09;70.73;0.00;0.00;-0.01;
39;;-2.97;1.28;8.58;0.00;0.00;0.01;
45;;2.89;1.28;8.39;0.00;0.00;-0.01;
46;;0.70;2.93;17.82;0.00;0.00;0.00;
47;;-0.54;3.27;17.90;0.00;0.00;0.00;
48;;-0.08;2.93;17.67;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;54.19;-0.10;95.07;0.00;0.00;-0.01;
18;P_x;-54.31;-0.10;95.16;0.00;0.00;0.01;
11;P_y;-50.26;24.77;50.27;0.00;0.00;0.01;
18;P_y;-54.31;-0.10;95.16;0.00;0.00;0.01;
18;P_z;-54.31;-0.10;95.16;0.00;0.00;0.01;
7;P_z;5.49;3.00;7.82;0.00;0.00;-0.01;
1;M_x;-5.58;3.00;8.00;0.00;0.00;0.01;
1;M_x;-5.58;3.00;8.00;0.00;0.00;0.01;
1;M_y;-5.58;3.00;8.00;0.00;0.00;0.01;
1;M_y;-5.58;3.00;8.00;0.00;0.00;0.01;
18;M_z;-54.31;-0.10;95.16;0.00;0.00;0.01;
24;M_z;54.19;-0.10;95.07;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;87.90;714.46;Loads;;;
Σ;;0.00;87.90;714.46;Support Forces;;;
