Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.40;0.00;4.46;0.00;0.00;0.00;
7;;0.35;0.00;4.34;0.00;0.00;0.00;
8;;1.29;0.00;8.12;0.00;0.00;0.00;
9;;-1.21;0.00;8.27;0.00;0.00;0.00;
10;;-0.03;0.00;8.00;0.00;0.00;0.00;
11;;-20.77;1.44;34.95;0.00;0.00;0.00;
17;;20.77;1.44;34.97;0.00;0.00;0.00;
18;;-20.77;-1.44;34.95;0.00;0.00;0.00;
24;;20.77;-1.44;34.97;0.00;0.00;0.00;
25;;-20.11;0.00;33.52;0.00;0.00;0.00;
31;;20.11;0.00;33.54;0.00;0.00;0.00;
32;;-20.11;0.00;33.52;0.00;0.00;0.00;
38;;20.11;0.00;33.54;0.00;0.00;0.00;
39;;-0.40;0.00;4.46;0.00;0.00;0.00;
45;;0.35;0.00;4.34;0.00;0.00;0.00;
46;;1.29;0.00;8.12;0.00;0.00;0.00;
47;;-1.21;0.00;8.27;0.00;0.00;0.00;
48;;-0.03;0.00;8.00;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;20.77;1.44;34.97;0.00;0.00;0.00;
11;P_x;-20.77;1.44;34.95;0.00;0.00;0.00;
11;P_y;-20.77;1.44;34.95;0.00;0.00;0.00;
18;P_y;-20.77;-1.44;34.95;0.00;0.00;0.00;
17;P_z;20.77;1.44;34.97;0.00;0.00;0.00;
7;P_z;0.35;0.00;4.34;0.00;0.00;0.00;
1;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;
1;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;
1;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;
1;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;
17;M_z;20.77;1.44;34.97;0.00;0.00;0.00;
11;M_z;-20.77;1.44;34.95;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;340.34;Loads;;;
Σ;;0.00;0.00;340.34;Support Forces;;;
