Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.38;-0.02;4.46;0.00;0.00;0.00;
7;;0.37;-0.02;4.35;0.00;0.00;0.00;
8;;1.25;-0.04;8.28;0.00;0.00;0.00;
9;;-1.25;-0.04;8.10;0.00;0.00;0.00;
10;;0.00;-0.03;8.00;0.00;0.00;0.00;
11;;-20.75;1.67;34.39;0.00;0.00;0.00;
17;;20.75;1.67;34.30;0.00;0.00;0.00;
18;;-20.78;-1.23;35.63;0.00;0.00;0.00;
24;;20.78;-1.23;35.52;0.00;0.00;0.00;
25;;-20.11;-0.14;33.58;0.00;0.00;0.00;
31;;20.11;-0.14;33.48;0.00;0.00;0.00;
32;;-20.11;-0.14;33.58;0.00;0.00;0.00;
38;;20.11;-0.14;33.48;0.00;0.00;0.00;
39;;-0.38;-0.02;4.46;0.00;0.00;0.00;
45;;0.37;-0.02;4.35;0.00;0.00;0.00;
46;;1.25;-0.04;8.28;0.00;0.00;0.00;
47;;-1.25;-0.04;8.10;0.00;0.00;0.00;
48;;0.00;-0.03;8.00;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;20.78;-1.23;35.52;0.00;0.00;0.00;
18;P_x;-20.78;-1.23;35.63;0.00;0.00;0.00;
11;P_y;-20.75;1.67;34.39;0.00;0.00;0.00;
24;P_y;20.78;-1.23;35.52;0.00;0.00;0.00;
18;P_z;-20.78;-1.23;35.63;0.00;0.00;0.00;
7;P_z;0.37;-0.02;4.35;0.00;0.00;0.00;
1;M_x;-0.38;-0.02;4.46;0.00;0.00;0.00;
1;M_x;-0.38;-0.02;4.46;0.00;0.00;0.00;
1;M_y;-0.38;-0.02;4.46;0.00;0.00;0.00;
1;M_y;-0.38;-0.02;4.46;0.00;0.00;0.00;
18;M_z;-20.78;-1.23;35.63;0.00;0.00;0.00;
24;M_z;20.78;-1.23;35.52;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;340.34;Loads;;;
Σ;;0.00;0.00;340.34;Support Forces;;;
