Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.53;-0.76;11.82;0.00;0.00;0.00;
7;;2.43;-0.77;11.59;0.00;0.00;0.00;
8;;0.31;-1.76;24.27;0.00;0.00;0.00;
9;;-0.10;-1.96;23.98;0.00;0.00;0.00;
10;;-0.10;-1.76;24.19;0.00;0.00;0.00;
11;;-67.26;0.07;111.70;0.00;0.00;-0.01;
17;;67.18;0.07;111.61;0.00;0.00;0.01;
18;;-63.97;-14.91;84.69;0.00;0.00;-0.01;
24;;64.05;-14.83;84.74;0.00;0.00;0.01;
25;;-65.59;0.07;96.29;0.00;0.00;-0.01;
31;;65.59;0.07;96.24;0.00;0.00;0.01;
32;;-66.50;0.07;96.34;0.00;0.00;-0.01;
38;;66.51;0.06;96.29;0.00;0.00;0.01;
39;;-4.10;-1.80;11.48;0.00;0.00;-0.01;
45;;3.99;-1.80;11.24;0.00;0.00;0.01;
46;;0.31;-4.11;24.43;0.00;0.00;0.00;
47;;-0.10;-4.59;24.19;0.00;0.00;0.00;
48;;-0.10;-4.11;24.35;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;67.18;0.07;111.61;0.00;0.00;0.01;
11;P_x;-67.26;0.07;111.70;0.00;0.00;-0.01;
11;P_y;-67.26;0.07;111.70;0.00;0.00;-0.01;
18;P_y;-63.97;-14.91;84.69;0.00;0.00;-0.01;
11;P_z;-67.26;0.07;111.70;0.00;0.00;-0.01;
45;P_z;3.99;-1.80;11.24;0.00;0.00;0.01;
1;M_x;-2.53;-0.76;11.82;0.00;0.00;0.00;
1;M_x;-2.53;-0.76;11.82;0.00;0.00;0.00;
1;M_y;-2.53;-0.76;11.82;0.00;0.00;0.00;
1;M_y;-2.53;-0.76;11.82;0.00;0.00;0.00;
17;M_z;67.18;0.07;111.61;0.00;0.00;0.01;
11;M_z;-67.26;0.07;111.70;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-52.74;969.46;Loads;;;
Σ;;0.00;-52.74;969.46;Support Forces;;;
