Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.75;-0.87;4.14;0.00;0.00;0.00;
7;;1.74;-0.87;4.03;0.00;0.00;0.00;
8;;1.24;-2.00;8.46;0.00;0.00;0.00;
9;;-1.23;-2.23;8.41;0.00;0.00;0.00;
10;;0.00;-2.00;8.17;0.00;0.00;0.00;
11;;-25.73;-0.15;49.29;0.00;0.00;-0.01;
17;;25.74;-0.15;49.16;0.00;0.00;0.01;
18;;-22.10;-15.77;20.73;0.00;0.00;-0.01;
24;;22.10;-15.73;20.66;0.00;0.00;0.01;
25;;-24.22;-0.10;33.58;0.00;0.00;-0.01;
31;;24.22;-0.10;33.48;0.00;0.00;0.01;
32;;-25.20;-0.10;33.60;0.00;0.00;-0.01;
38;;25.20;-0.10;33.50;0.00;0.00;0.01;
39;;-3.49;-2.02;3.76;0.00;0.00;-0.01;
45;;3.48;-2.02;3.65;0.00;0.00;0.01;
46;;1.22;-4.63;8.66;0.00;0.00;0.00;
47;;-1.21;-5.15;8.71;0.00;0.00;0.00;
48;;0.00;-4.62;8.38;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;25.74;-0.15;49.16;0.00;0.00;0.01;
11;P_x;-25.73;-0.15;49.29;0.00;0.00;-0.01;
25;P_y;-24.22;-0.10;33.58;0.00;0.00;-0.01;
18;P_y;-22.10;-15.77;20.73;0.00;0.00;-0.01;
11;P_z;-25.73;-0.15;49.29;0.00;0.00;-0.01;
45;P_z;3.48;-2.02;3.65;0.00;0.00;0.01;
1;M_x;-1.75;-0.87;4.14;0.00;0.00;0.00;
1;M_x;-1.75;-0.87;4.14;0.00;0.00;0.00;
1;M_y;-1.75;-0.87;4.14;0.00;0.00;0.00;
1;M_y;-1.75;-0.87;4.14;0.00;0.00;0.00;
45;M_z;3.48;-2.02;3.65;0.00;0.00;0.01;
39;M_z;-3.49;-2.02;3.76;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-58.60;340.34;Loads;;;
Σ;;0.00;-58.60;340.34;Support Forces;;;
