Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-3.77;2.00;5.80;0.00;0.00;0.01;
7;;3.70;2.00;5.64;0.00;0.00;-0.01;
8;;0.98;4.58;12.87;0.00;0.00;0.00;
9;;-0.86;5.11;13.03;0.00;0.00;0.00;
10;;-0.06;4.58;12.79;0.00;0.00;0.00;
11;;-35.54;16.47;37.01;0.00;0.00;0.01;
17;;35.62;16.39;37.11;0.00;0.00;-0.01;
18;;-38.28;-0.06;66.92;0.00;0.00;0.01;
24;;38.20;-0.06;66.86;0.00;0.00;-0.01;
25;;-34.82;-0.06;50.53;0.00;0.00;0.01;
31;;34.82;-0.05;50.52;0.00;0.00;-0.01;
32;;-34.81;-0.05;50.52;0.00;0.00;0.01;
38;;34.81;-0.05;50.51;0.00;0.00;-0.01;
39;;-2.03;0.85;6.18;0.00;0.00;0.00;
45;;1.96;0.85;6.03;0.00;0.00;0.00;
46;;1.00;1.96;12.67;0.00;0.00;0.00;
47;;-0.88;2.18;12.75;0.00;0.00;0.00;
48;;-0.05;1.96;12.59;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;38.20;-0.06;66.86;0.00;0.00;-0.01;
18;P_x;-38.28;-0.06;66.92;0.00;0.00;0.01;
11;P_y;-35.54;16.47;37.01;0.00;0.00;0.01;
18;P_y;-38.28;-0.06;66.92;0.00;0.00;0.01;
18;P_z;-38.28;-0.06;66.92;0.00;0.00;0.01;
7;P_z;3.70;2.00;5.64;0.00;0.00;-0.01;
1;M_x;-3.77;2.00;5.80;0.00;0.00;0.01;
1;M_x;-3.77;2.00;5.80;0.00;0.00;0.01;
1;M_y;-3.77;2.00;5.80;0.00;0.00;0.01;
1;M_y;-3.77;2.00;5.80;0.00;0.00;0.01;
18;M_z;-38.28;-0.06;66.92;0.00;0.00;0.01;
24;M_z;38.20;-0.06;66.86;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;58.60;510.34;Loads;;;
Σ;;0.00;58.60;510.34;Support Forces;;;
