Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.00;-0.88;6.17;0.00;0.00;0.00;
7;;1.99;-0.88;6.04;0.00;0.00;0.00;
8;;0.94;-2.02;12.91;0.00;0.00;0.00;
9;;-0.94;-2.24;12.51;0.00;0.00;0.00;
10;;0.00;-2.01;12.59;0.00;0.00;0.00;
11;;-37.26;-0.22;66.04;0.00;0.00;-0.01;
17;;37.26;-0.22;65.83;0.00;0.00;0.01;
18;;-33.66;-15.51;38.05;0.00;0.00;-0.01;
24;;33.66;-15.47;37.90;0.00;0.00;0.01;
25;;-35.77;-0.16;50.62;0.00;0.00;-0.01;
31;;35.77;-0.16;50.44;0.00;0.00;0.01;
32;;-36.76;-0.16;50.65;0.00;0.00;-0.01;
38;;36.76;-0.16;50.47;0.00;0.00;0.01;
39;;-3.74;-2.02;5.79;0.00;0.00;-0.01;
45;;3.73;-2.03;5.65;0.00;0.00;0.01;
46;;0.92;-4.64;13.10;0.00;0.00;0.00;
47;;-0.92;-5.16;12.80;0.00;0.00;0.00;
48;;0.00;-4.64;12.79;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;37.26;-0.22;65.83;0.00;0.00;0.01;
11;P_x;-37.26;-0.22;66.04;0.00;0.00;-0.01;
31;P_y;35.77;-0.16;50.44;0.00;0.00;0.01;
18;P_y;-33.66;-15.51;38.05;0.00;0.00;-0.01;
11;P_z;-37.26;-0.22;66.04;0.00;0.00;-0.01;
45;P_z;3.73;-2.03;5.65;0.00;0.00;0.01;
1;M_x;-2.00;-0.88;6.17;0.00;0.00;0.00;
1;M_x;-2.00;-0.88;6.17;0.00;0.00;0.00;
1;M_y;-2.00;-0.88;6.17;0.00;0.00;0.00;
1;M_y;-2.00;-0.88;6.17;0.00;0.00;0.00;
45;M_z;3.73;-2.03;5.65;0.00;0.00;0.01;
39;M_z;-3.74;-2.02;5.79;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-58.60;510.34;Loads;;;
Σ;;0.00;-58.60;510.34;Support Forces;;;
