;;;;
;Description;Value;Unit;Notes
;Sum of loads and sum of support forces;;;
;Sum of loads in X;0.00;kN;
;Sum of support forces in X;-0.03;kN;Deviation: -100.00 %
;Sum of loads in Y;52.74;kN;
;Sum of support forces in Y;52.74;kN;Deviation: 0.00 %
;Sum of loads in Z;969.46;kN;
;Sum of support forces in Z;969.43;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;61.10;kNm;At center of gravity of model (9.972, 12.326, -3.889 m)
;Resultant of reactions about Y;-20.01;kNm;At center of gravity of model
;Resultant of reactions about Z;0.75;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;109.1;mm;Member No. 63, x: 2.500 m
;Maximum displacement in Y-direction;5.9;mm;Member No. 8, x: 3.000 m
;Maximum displacement in Z-direction;64.0;mm;Member No. 133, x: 2.500 m
;Maximum vectorial displacement;109.8;mm;Member No. 63, x: 2.500 m
;Maximum rotation about X-axis;-20.3;mrad;Member No. 211, x: 0.000 m
;Maximum rotation about Y-axis;-6.9;mrad;Member No. 137, x: 0.412 m
;Maximum rotation about Z-axis;-68.7;mrad;Member No. 63, x: 0.000 m
;;;;
;Calculation statistic;;;
;Number of iterations;4;;
;Maximum value of element of stiffness matrix on diagonal;2.65e+13;--;
;Minimum value of element of stiffness matrix on diagonal;19126.20;--;
;Stiffness matrix determinant;3.05e+89680;--;
;Infinity Norm;6.04e+13;--;
;;;;
;Static Analysis Settings No. 2 - Second-order (P-Δ) | Newton-Raphson | 100 | 3;;;
;Analysis type;Second-order (P-Δ);;
;Iterative method;Newton-Raphson;;
;Maximum number of iterations;100;;
;Number of load increments;3;;
;Modify loading by multiplier factor;;;
;Consider favorable effects due to tension forces of members;;;
;Save results of all load increments;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
