Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;0.51;-2.98;12.53;0.00;0.00;-0.01;
7;;2.01;-1.34;11.73;0.00;0.00;0.00;
8;;3.34;-4.82;21.07;0.00;0.00;0.00;
9;;0.00;-4.39;26.87;0.00;0.00;0.00;
10;;0.00;-3.05;24.18;0.00;0.00;0.00;
11;;-56.15;1.70;95.83;0.00;0.00;0.00;
17;;67.86;1.71;97.94;0.00;0.00;0.00;
18;;-56.29;-0.43;99.36;0.00;0.00;0.00;
24;;67.98;-0.44;101.48;0.00;0.00;0.00;
25;;-55.35;-0.41;95.69;0.00;0.00;0.00;
31;;67.05;-0.42;97.80;0.00;0.00;0.00;
32;;-55.30;-0.41;95.63;0.00;0.00;0.00;
38;;67.00;-0.42;97.75;0.00;0.00;0.00;
39;;0.51;2.87;12.53;0.00;0.00;0.01;
45;;2.01;1.24;11.73;0.00;0.00;0.00;
46;;3.34;4.61;21.07;0.00;0.00;0.00;
47;;0.00;4.16;26.88;0.00;0.00;0.00;
48;;0.00;2.84;24.18;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;67.98;-0.44;101.48;0.00;0.00;0.00;
18;P_x;-56.29;-0.43;99.36;0.00;0.00;0.00;
46;P_y;3.34;4.61;21.07;0.00;0.00;0.00;
8;P_y;3.34;-4.82;21.07;0.00;0.00;0.00;
24;P_z;67.98;-0.44;101.48;0.00;0.00;0.00;
45;P_z;2.01;1.24;11.73;0.00;0.00;0.00;
1;M_x;0.51;-2.98;12.53;0.00;0.00;-0.01;
1;M_x;0.51;-2.98;12.53;0.00;0.00;-0.01;
1;M_y;0.51;-2.98;12.53;0.00;0.00;-0.01;
1;M_y;0.51;-2.98;12.53;0.00;0.00;-0.01;
39;M_z;0.51;2.87;12.53;0.00;0.00;0.01;
1;M_z;0.51;-2.98;12.53;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;58.53;0.00;974.26;Loads;;;
Σ;;58.53;0.00;974.26;Support Forces;;;
