;;;;
;Description;Value;Unit;Notes
;Sum of loads and sum of support forces;;;
;Sum of loads in X;-97.55;kN;
;Sum of support forces in X;-97.55;kN;Deviation: 0.00 %
;Sum of loads in Y;0.00;kN;
;Sum of support forces in Y;0.00;kN;
;Sum of loads in Z;467.46;kN;
;Sum of support forces in Z;467.46;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;42.86;kNm;At center of gravity of model (9.972, 12.326, -3.889 m)
;Resultant of reactions about Y;-183.16;kNm;At center of gravity of model
;Resultant of reactions about Z;17.03;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;-109.7;mm;Member No. 66, x: 2.500 m
;Maximum displacement in Y-direction;6.3;mm;Member No. 224, x: 1.038 m
;Maximum displacement in Z-direction;30.7;mm;Member No. 55, x: 2.500 m
;Maximum vectorial displacement;110.2;mm;Member No. 66, x: 2.500 m
;Maximum rotation about X-axis;-30.1;mrad;Member No. 224, x: 1.650 m
;Maximum rotation about Y-axis;3.1;mrad;Member No. 146, x: 0.206 m
;Maximum rotation about Z-axis;-67.3;mrad;Member No. 67, x: 5.000 m
;;;;
;Calculation statistic;;;
;Number of iterations;4;;
;Maximum value of element of stiffness matrix on diagonal;2.65e+13;--;
;Minimum value of element of stiffness matrix on diagonal;19126.20;--;
;Stiffness matrix determinant;4.39e+89689;--;
;Infinity Norm;6.04e+13;--;
;;;;
;Static Analysis Settings No. 2 - Second-order (P-Δ) | Newton-Raphson | 100 | 3;;;
;Analysis type;Second-order (P-Δ);;
;Iterative method;Newton-Raphson;;
;Maximum number of iterations;100;;
;Number of load increments;3;;
;Modify loading by multiplier factor;;;
;Consider favorable effects due to tension forces of members;;;
;Save results of all load increments;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
