Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.30;0.00;12.11;0.00;0.00;0.00;
7;;1.19;0.00;11.88;0.00;0.00;0.00;
8;;0.31;0.00;24.11;0.00;0.00;0.00;
9;;-0.10;0.00;23.69;0.00;0.00;0.00;
10;;-0.10;0.00;24.02;0.00;0.00;0.00;
11;;-62.80;0.49;98.22;0.00;0.00;0.00;
17;;62.80;0.49;98.18;0.00;0.00;0.00;
18;;-62.80;-0.49;98.22;0.00;0.00;0.00;
24;;62.80;-0.49;98.18;0.00;0.00;0.00;
25;;-61.91;0.00;96.29;0.00;0.00;0.00;
31;;61.91;0.00;96.24;0.00;0.00;0.00;
32;;-61.91;0.00;96.29;0.00;0.00;0.00;
38;;61.91;0.00;96.24;0.00;0.00;0.00;
39;;-1.30;0.00;12.11;0.00;0.00;0.00;
45;;1.19;0.00;11.88;0.00;0.00;0.00;
46;;0.30;0.00;24.11;0.00;0.00;0.00;
47;;-0.10;0.00;23.68;0.00;0.00;0.00;
48;;-0.10;0.00;24.02;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;62.80;-0.49;98.18;0.00;0.00;0.00;
18;P_x;-62.80;-0.49;98.22;0.00;0.00;0.00;
17;P_y;62.80;0.49;98.18;0.00;0.00;0.00;
24;P_y;62.80;-0.49;98.18;0.00;0.00;0.00;
11;P_z;-62.80;0.49;98.22;0.00;0.00;0.00;
7;P_z;1.19;0.00;11.88;0.00;0.00;0.00;
1;M_x;-1.30;0.00;12.11;0.00;0.00;0.00;
1;M_x;-1.30;0.00;12.11;0.00;0.00;0.00;
1;M_y;-1.30;0.00;12.11;0.00;0.00;0.00;
1;M_y;-1.30;0.00;12.11;0.00;0.00;0.00;
17;M_z;62.80;0.49;98.18;0.00;0.00;0.00;
11;M_z;-62.80;0.49;98.22;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;969.46;Loads;;;
Σ;;0.00;0.00;969.45;Support Forces;;;
