Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.78;1.20;8.11;0.00;0.00;0.00;
7;;2.69;1.20;7.93;0.00;0.00;0.00;
8;;0.72;2.75;17.08;0.00;0.00;0.00;
9;;-0.56;3.06;16.96;0.00;0.00;0.00;
10;;-0.07;2.75;17.05;0.00;0.00;0.00;
11;;-45.83;9.90;60.01;0.00;0.00;0.00;
17;;45.88;9.84;60.04;0.00;0.00;0.00;
18;;-47.46;-0.04;77.96;0.00;0.00;0.00;
24;;47.41;-0.04;77.89;0.00;0.00;0.00;
25;;-45.13;-0.04;67.54;0.00;0.00;0.00;
31;;45.13;-0.04;67.51;0.00;0.00;0.00;
32;;-45.12;-0.04;67.53;0.00;0.00;0.00;
38;;45.11;-0.04;67.50;0.00;0.00;0.00;
39;;-1.73;0.51;8.34;0.00;0.00;0.00;
45;;1.65;0.51;8.16;0.00;0.00;0.00;
46;;0.73;1.17;16.97;0.00;0.00;0.00;
47;;-0.58;1.31;16.80;0.00;0.00;0.00;
48;;-0.07;1.17;16.94;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;47.41;-0.04;77.89;0.00;0.00;0.00;
18;P_x;-47.46;-0.04;77.96;0.00;0.00;0.00;
11;P_y;-45.83;9.90;60.01;0.00;0.00;0.00;
18;P_y;-47.46;-0.04;77.96;0.00;0.00;0.00;
18;P_z;-47.46;-0.04;77.96;0.00;0.00;0.00;
7;P_z;2.69;1.20;7.93;0.00;0.00;0.00;
1;M_x;-2.78;1.20;8.11;0.00;0.00;0.00;
1;M_x;-2.78;1.20;8.11;0.00;0.00;0.00;
1;M_y;-2.78;1.20;8.11;0.00;0.00;0.00;
1;M_y;-2.78;1.20;8.11;0.00;0.00;0.00;
1;M_z;-2.78;1.20;8.11;0.00;0.00;0.00;
24;M_z;47.41;-0.04;77.89;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;35.16;680.34;Loads;;;
Σ;;0.00;35.16;680.34;Support Forces;;;
