Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-1.42;-0.86;8.46;0.00;0.00;0.00;
7;;-0.33;-1.95;8.64;0.00;0.00;0.00;
8;;-0.08;-1.97;19.17;0.00;0.00;0.00;
9;;-2.00;-2.85;14.50;0.00;0.00;0.00;
10;;-0.07;-3.15;16.78;0.00;0.00;0.00;
11;;-47.30;0.98;70.10;0.00;0.00;0.00;
17;;39.50;1.10;68.41;0.00;0.00;0.00;
18;;-47.32;-0.98;70.12;0.00;0.00;0.00;
24;;39.52;-1.10;68.45;0.00;0.00;0.00;
25;;-46.66;0.00;68.69;0.00;0.00;0.00;
31;;38.86;0.00;67.00;0.00;0.00;0.00;
32;;-46.64;0.00;68.67;0.00;0.00;0.00;
38;;38.84;0.00;66.98;0.00;0.00;0.00;
39;;-1.42;0.86;8.46;0.00;0.00;0.00;
45;;-0.33;1.95;8.64;0.00;0.00;0.00;
46;;-0.08;1.97;19.17;0.00;0.00;0.00;
47;;-2.00;2.85;14.50;0.00;0.00;0.00;
48;;-0.07;3.15;16.78;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;39.52;-1.10;68.45;0.00;0.00;0.00;
18;P_x;-47.32;-0.98;70.12;0.00;0.00;0.00;
48;P_y;-0.07;3.15;16.78;0.00;0.00;0.00;
10;P_y;-0.07;-3.15;16.78;0.00;0.00;0.00;
18;P_z;-47.32;-0.98;70.12;0.00;0.00;0.00;
39;P_z;-1.42;0.86;8.46;0.00;0.00;0.00;
1;M_x;-1.42;-0.86;8.46;0.00;0.00;0.00;
1;M_x;-1.42;-0.86;8.46;0.00;0.00;0.00;
1;M_y;-1.42;-0.86;8.46;0.00;0.00;0.00;
1;M_y;-1.42;-0.86;8.46;0.00;0.00;0.00;
7;M_z;-0.33;-1.95;8.64;0.00;0.00;0.00;
45;M_z;-0.33;1.95;8.64;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;-39.02;0.00;683.54;Loads;;;
Σ;;-39.02;0.00;683.54;Support Forces;;;
